path,file_type,size_bytes,mtime_iso,git_status,tracked
docker-compose.yml,.yml,810,2026-08-24T18:38:10.516546,,tracked
docs/.env.template,.template,2165,2026-08-22T05:59:28.490513,,untracked
docs/ADMIN_GUIDE.md,.md,4096,2026-08-07T15:29:27.579623,,untracked
docs/API.md,.md,18048,2026-08-11T21:22:12.943220,,untracked
docs/ARCHITECTURE.md,.md,10801,2026-08-04T13:23:07.351928,,untracked
docs/archive/BETA_MONITORING_GUIDE.md,.md,5641,2026-08-08T12:16:17.577493,,untracked
docs/archive/DEMO_GUIDE.md,.md,7220,2026-08-02T11:29:51.845651,,untracked
docs/archive/GAPS.md,.md,4731,2026-08-11T07:08:50.533022,,untracked
docs/archive/manual_verification.md,.md,969,2026-08-11T07:08:50.542028,,untracked
docs/archive/PRE_LAUNCH_ASSURANCE_REPORT.md,.md,11579,2026-08-10T18:27:36.112158,,untracked
docs/archive/PROJECT_CHARTER.md,.md,5636,2026-08-10T18:40:43.072239,,untracked
docs/archive/PROJECT_STATUS_REPORT_05AUG2026.md,.md,18651,2026-08-10T18:27:36.113874,,untracked
docs/archive/README.md,.md,949,2026-08-07T15:29:55.203569,,untracked
docs/archive/Software Assurance & Certification Framework.md,.md,8063,2026-08-04T16:53:22.193820,,untracked
docs/BETA_ENVIRONMENT.md,.md,6923,2026-08-19T06:14:25.011290,,untracked
docs/BETA_INVITATION_TEMPLATE.md,.md,3281,2026-08-05T19:34:11.951534,,untracked
docs/BETA_TEST_CHECKLIST.md,.md,3744,2026-08-08T12:15:58.960844,,untracked
docs/BETA_TESTERS.md,.md,4236,2026-08-10T20:03:37.869651,,untracked
docs/CLEANUP_MANIFEST.md,.md,2140,2026-08-22T05:58:28.898640,,untracked
docs/CREDENTIALS.md,.md,11883,2026-08-21T08:08:59.328635,,untracked
docs/DEPLOYMENT.md,.md,10893,2026-08-19T06:14:25.012298,,untracked
docs/FEEDBACK_FORM_STRUCTURE.md,.md,3742,2026-08-11T07:08:50.531027,,untracked
docs/FILE_STRUCTURE.md,.md,7676,2026-08-07T16:01:55.951504,,untracked
